Identifiant de l'équipement,Equipement,Code thème,Thème,Code catégorie,Catégorie,Code type,Type,Statut,Commune,Adresse,Téléphone,Web,Code postal,latitude,longitude
3923,Stand de Tir des Jamonières,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60118,Tir,Ville de Nantes,LA-CHAPELLE-SUR-ERDRE,Route de la Jonelière,,,44240,47.2570977825,-1.54080706436
3937,Plaine de Jeux du Lycée de la Colinière,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60117,Terrain de grands jeux,Région,,,,,44300,47.235416199,-1.51229825921
3944,Terrain multi-sports de la Haluchère,6,SPORT ET LOISIRS,602,Pratique libre,60201,Terrain multi-sports,Ville de Nantes,NANTES,Rue Jules Grandjouan,,,44300,47.2474595193,-1.51227991939
4180,Aire multisports,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60117,Terrain de grands jeux,Non renseigné,LES-SORINIERES,Impasse de la Forge,,,44840,47.1488585938,-1.53387348448
4192,Centre aquatique So.Pool,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60112,Piscine,Public,BASSE-GOULAINE,2 Rue de Tasmanie,,,44115,47.1895837217,-1.47341692543
4230,Boulodrome,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60103,Boulodrome,Non renseigné,SAINT-AIGNAN-GRANDLIEU,Route du Lac,,,44860,47.1203301587,-1.6377179026
4231,Skatepark - St-Aignan,6,SPORT ET LOISIRS,602,Pratique libre,60202,Skatepark,Municipal,SAINT-AIGNAN-GRANDLIEU,Place Saint Amani,,,44860,47.1211603585,-1.63728300697
4232,Terrain de Basket,6,SPORT ET LOISIRS,602,Pratique libre,60201,Terrain multi-sports,Non renseigné,SAINT-AIGNAN-GRANDLIEU,Place Saint Amani,,,44860,47.1210002437,-1.63719842325
4245,Terrain de Tennis,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60116,Tennis,Non renseigné,VERTOU,Allée de la Vigne de Pâques,,,44120,47.1639364124,-1.46673884133
4264,Terrains de pétanque,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60103,Boulodrome,Non renseigné,SAUTRON,Rue de la Forêt,,,44880,47.2670126153,-1.67792361541
4337,Bike-Park,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60102,Bicross,Non renseigné,ORVAULT,4 Chemin de Gagné,,,44700,47.2818757467,-1.62959730287
4338,Boulodrome,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60103,Boulodrome,Non renseigné,,,,,44700,47.2540770167,-1.59839660644
4382,Skatepark - Bouguenais,6,SPORT ET LOISIRS,602,Pratique libre,60202,Skatepark,Public,BOUGUENAIS,Chemin de la Neustrie,,,44340,47.1748522463,-1.5906651779
4538,Terrain multi-sports Gustave Eiffel,6,SPORT ET LOISIRS,602,Pratique libre,60201,Terrain multi-sports,Bailleur,NANTES,Rue Gustave Eiffel,,,44300,47.25610173,-1.51933112203
4870,Skatepark - St-Sébastien,6,SPORT ET LOISIRS,602,Pratique libre,60202,Skatepark,Municipal,ST-SEBASTIEN,Square Jean Moulin,,,44230,47.207235692,-1.48711817344
4887,Anneau de Patin,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60119,Vélodrome,Non renseigné,SAINT-JEAN-DE-BOISEAU,Rue des Bruyères,,,44640,47.1925774878,-1.72662265254
4941,Plateau multi-sports Square Beaumarchais,6,SPORT ET LOISIRS,602,Pratique libre,60201,Terrain multi-sports,Non renseigné,REZE,Allée Beaumarchais,,,44400,47.1844282073,-1.55814660819
4950,Skatepark du Loiry,6,SPORT ET LOISIRS,602,Pratique libre,60202,Skatepark,Municipal,VERTOU,Boulevard Guichet Sérex,,,44120,47.1634959696,-1.47675154819
50,Gymnase Jean Zay Bellevue,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Ville de Nantes,NANTES,15B Rue Yves Kartel,,,44100,47.2082910717,-1.60741125639
5010,Terrain multi-sports parc du Plessis Tison,6,SPORT ET LOISIRS,602,Pratique libre,60201,Terrain multi-sports,Ville de Nantes,NANTES,Rond-Point de Paris,,,44300,47.2341541854,-1.5360161689
5043,Halle de tennis,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60116,Tennis,Public,CARQUEFOU,Rue du Moulin Boisseau,,,44470,47.2842296286,-1.48431772043
5098,Aire de jeux Jacqueline Bernier,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,ST-SEBASTIEN,Rue Jacqueline Bernier,,,44230,47.2006520102,-1.50365218421
5136,Aire de Jeux Célestin Freinet,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,BOUGUENAIS,Rue Célestin Freinet,,,44340,47.1815255603,-1.59008789299
5141,Aire de Jeux 8 Mai,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,BOUGUENAIS,Rue du Huit Mai,,,44340,47.1782261678,-1.62076825645
5144,Aire de jeux de la Filée,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,LES-SORINIERES,Route de la Filée,,,44840,47.1260824533,-1.5407057864
5180,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Rue de Chypre,,,44000,47.216313619,-1.52407124819
5190,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Rue Petite Biesse,,,44200,47.2024470505,-1.54704877837
5191,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Boulevard Gustave Roch,,,44200,47.2052786302,-1.54997378709
5197,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Impasse Saint Laurent,,,44000,47.217949415,-1.54927590826
5202,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Rue Stanislas Baudry,,,44000,47.2206437733,-1.5449989917
5208,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Rue des Courtils,,,44100,47.2005160162,-1.59330191539
5210,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Boulevard Benoit Frachon,,,44100,47.2077482697,-1.58015333689
5212,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Rue du Bois Hercé,,,44100,47.2076304581,-1.59195066932
5214,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,54 Rue de l'Abbaye,,,44100,47.2014891338,-1.59764701412
5220,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Place des Lauriers,,,44100,47.2043014556,-1.60432302826
