Identifiant de l'équipement,Equipement,Code thème,Thème,Code catégorie,Catégorie,Code type,Type,Statut,Commune,Adresse,Téléphone,Web,Code postal,latitude,longitude
2266,Bibliothèque Sonore,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,NANTES,24 Quai de la Fosse,,,44000,47.2112867089,-1.56223603209
2380,Espace de la Tour à Plomb,1,CULTURE,104,Monument,,,Non renseigné,,,,,44220,47.2092211116,-1.72032263477
2395,Château de La Plinguetière,1,CULTURE,101,Musée, Château,10101,Château,Privé,SAINT-AIGNAN-GRANDLIEU,51 Route du Champ de Foire,,44860,47.1316557609,-1.61348222246
2640,Château de La Chantrerie,1,CULTURE,104,Monument,,,Non renseigné,,,,,44300,47.287547987,-1.52604103996
2727,Médiathèque Hélène Carrère d'Encausse,1,CULTURE,103,Médiathèque,10303,Médiathèque,Public,CARQUEFOU,22 Rue André Maurois,,,44470,47.2956142241,-1.49094600653
3019,TNT - Terrain Neutre Théâtre,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,11 Allée de la Maison Rouge,,,44000,47.2124437591,-1.55213845859
3069,Bibliothèque Nantes,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,NANTES,96 Boulevard Robert Schuman,,,44300,47.2383482511,-1.57013489992
3483,Château du Chassay,1,CULTURE,101,Musée, Château,10101,Château,Non renseigné,SAINTE-LUCE-SUR-LOIRE,Esplanade Pierre Brasselet,,44980,47.2479022099,-1.48357423372
3574,Salle l'Odyssée,1,CULTURE,107,Salle de spectacle,,,Non renseigné,,,,,44700,47.2613100307,-1.62262235936
4882,Lieu Culturel Espace la Morvandière,1,CULTURE,107,Salle de spectacle,,,Public,THOUARE-SUR-LOIRE,23 Rue de Mauves,,,44470,47.2689139439,-1.43783968386
5023,Maison des Arts,1,CULTURE,105,Ecole Culturelle,,,Non renseigné,,,,,44800,47.2119051995,-1.61491293924
5362,Centre Culturel Franco-Allemand (CCFA),1,CULTURE,107,Salle de spectacle,,,,NANTES,92 Boulevard de la Prairie au Duc,,,44200,47.2039890898,-1.5686955726
942,Ludothèque Bout des Landes,1,CULTURE,103,Médiathèque,10302,Ludothèque,Non renseigné,NANTES,12 Rue de Concarneau,,,44300,47.2660853378,-1.57811321599
1068,Salle d'Expositions Temple du Goût,1,CULTURE,106,Salle d'exposition,,,Non renseigné,NANTES,30 Rue Kervégan,,,44000,47.2124516322,-1.55668905694
1123,Cinéma Gaumont,1,CULTURE,108,Cinéma,,,Non renseigné,NANTES,12 Place du Commerce,,,44000,47.2134049954,-1.55826229055
133,Musée de l'Imprimerie,1,CULTURE,101,Musée, Château,10102,Musée,Non renseigné,NANTES,24 Quai de la Fosse,,44000,47.2109357723,-1.56214636143
140,Salle Paul Fort Nantes,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,9 Rue Basse Porte,,,44000,47.220884172,-1.55827835984
